geneid,cid,aid,acname,acvalue
7048,447077,624909,Kd,0.27
7048,3038525,624909,Kd,10
7048,3025986,624909,Kd,2.4
7048,9869779,624909,Kd,0.32
7048,6918454,624909,Kd,10
7048,24180719,624909,Kd,0.89
7048,10427712,624909,Kd,10
7048,11314340,624909,Kd,10
7048,3038525,435693,Kd,10
7048,176155,624909,Kd,1.8
7048,11617559,624909,Kd,10
7048,11338033,624909,Kd,10
7048,9929127,624909,Kd,10
7048,135565635,624909,Kd,0.25
7048,4521392,435693,Kd,10
7048,3025986,435693,Kd,2.4
7048,5330790,435693,Kd,10
7048,5169,435693,Kd,10
7048,176155,435693,Kd,1.8
7048,11617559,435693,Kd,10
7048,71462718,709642,IC50,0.17
7048,71459224,709642,IC50,1.35
7048,71453824,709642,IC50,0.53
7048,71450193,709642,IC50,0.59
7048,71453844,709642,IC50,2.06
7048,45138466,709642,IC50,3.57
7048,58512903,709642,IC50,1.52
7048,67004059,709642,IC50,4.45
7048,4415811,709642,IC50,10
7048,71043140,709642,IC50,3.97
7048,4521392,709642,IC50,0.066
7048,58512887,709642,IC50,10
7048,58512904,709642,IC50,0.83
7048,58512919,709642,IC50,8.8
7048,58512928,709642,IC50,1.92
7048,44135961,709642,IC50,0.85
7048,71462720,709642,IC50,0.76
7048,71460985,709642,IC50,10
7048,58512897,709642,IC50,0.79
7048,71014144,709642,IC50,0.53
7048,71459205,709642,IC50,10
7048,71462719,709642,IC50,10
7048,71459206,709642,IC50,4.06
7048,71462735,709642,IC50,0.86
7048,71462736,709642,IC50,0.89
7048,71455555,709642,IC50,0.94
7048,71455575,709642,IC50,4.05
7048,71455556,709642,IC50,0.59
7048,71450194,709642,IC50,10
7048,71453825,709642,IC50,1.46
7048,71450211,709642,IC50,1.84
7048,71450195,709642,IC50,2.73
7048,71453843,709642,IC50,0.73
7048,71452019,709642,IC50,0.17
7048,2869892,709642,IC50,0.83
7048,2829352,709642,IC50,10
7048,3645030,709642,IC50,0.56
7048,2836897,709642,IC50,1.49
7048,5329102,508108,Kd,10
7048,3038522,508108,Kd,10
7048,126565,508108,Kd,0.54
7048,135837779,526937,IC50,19
7048,50990922,589594,IC50,2
7048,126565,624909,Kd,0.54
7048,216239,624909,Kd,6.9
7048,16038120,624909,Kd,0.25
7048,11667893,624909,Kd,10
7048,10184653,624909,Kd,10
7048,10127622,624909,Kd,10
7048,5329102,624909,Kd,10
7048,151194,624909,Kd,10
7048,3038522,624909,Kd,10
7048,16007391,624909,Kd,10
7048,11712649,624909,Kd,10
7048,135423438,624909,Kd,10
7048,9884685,624909,Kd,10
7048,5287969,624909,Kd,5.6
7048,24779724,624909,Kd,10
7048,176870,624909,Kd,10
7048,156422,624909,Kd,10
7048,9926791,624909,Kd,10
7048,5494449,624909,Kd,10
7048,17755052,624909,Kd,10
7048,25182616,624909,Kd,10
7048,11656518,624909,Kd,10
7048,6450551,624909,Kd,10
7048,44551653,624909,Kd,2
7048,216239,508108,Kd,10
7048,24889392,508108,Kd,10
7048,52945601,508108,Kd,10
7048,9829523,508108,Kd,10
7048,24889392,624909,Kd,10
7048,9829523,624909,Kd,10
7048,10138259,624909,Kd,10
7048,5328940,624909,Kd,10
7048,5291,624909,Kd,10
7048,11234052,624909,Kd,10
7048,9813758,624909,Kd,10
7048,9933475,624909,Kd,10
7048,11626560,624909,Kd,10
7048,42642645,624909,Kd,10
7048,16722836,624909,Kd,1.1
7048,25126798,624909,Kd,10
7048,10074640,624909,Kd,10
7048,15983966,624909,Kd,10
7048,11427553,624909,Kd,10
7048,123631,624909,Kd,10
7048,153999,624909,Kd,10
7048,3062316,624909,Kd,2.9
7048,11485656,624909,Kd,10
7048,16725726,624909,Kd,10
7048,10113978,624909,Kd,3
7048,135398510,624909,Kd,10
7048,208908,624909,Kd,10
7048,3081361,624909,Kd,10
7048,176167,624909,Kd,10
7048,644241,624909,Kd,10
7048,10461815,624909,Kd,10
7048,11717001,624909,Kd,10
7048,11409972,624909,Kd,0.26
7048,44259,624909,Kd,10
7048,156414,624909,Kd,0.8
7048,9915743,624909,Kd,10
7048,6918852,624909,Kd,10
7048,11213558,624909,Kd,0.33
7048,11364421,624909,Kd,10
7048,24867231,1433,Kd(TGFBR2),5.6
7048,11409972,1433,Kd(TGFBR2),0.26
7048,3025986,1433,Kd(TGFBR2),2.4
7048,176155,1433,Kd(TGFBR2),1.8
7048,156414,1433,Kd(TGFBR2),0.8
7048,3062316,1433,Kd(TGFBR2),2.9
7048,5330788,209038,IC50,20
7048,44396134,240968,IC50,9.5
7048,11248978,240968,IC50,2
7048,11294864,240968,IC50,3.1
7048,10029385,240968,IC50,1.2
7048,11328863,240968,IC50,20
7048,11316975,240968,IC50,20
7048,9972935,261604,IC50,20
7048,9995838,261604,IC50,19.63
7048,10064294,261604,IC50,0.395
7048,11740079,261604,IC50,0.69
7048,9973794,261604,IC50,20
7048,10049774,261604,IC50,14.54
7048,10094943,261604,IC50,20
7048,11723225,261604,IC50,1.3
7048,10359218,261604,IC50,0.668
7048,44408672,261604,IC50,20
7048,44408807,261604,IC50,20
7048,10456042,261604,IC50,19.75
7048,44408849,261604,IC50,20
7048,9972086,261604,IC50,8.73
7048,44408884,261604,IC50,10.84
7048,447966,261604,IC50,0.4
7048,10361101,261604,IC50,0.352
7048,10002593,261604,IC50,20
7048,10321041,261604,IC50,20
7048,11507696,261604,IC50,20
7048,208908,435693,Kd,10
7048,3081361,435693,Kd,10
7048,6445562,435693,Kd,10
7048,176870,435693,Kd,10
7048,156414,435693,Kd,0.8
7048,156422,435693,Kd,10
7048,9926791,435693,Kd,10
7048,5494449,435693,Kd,10
7048,11656518,435693,Kd,10
7048,9829523,435693,Kd,10
7048,10138259,435693,Kd,10
7048,5287969,435693,Kd,5.6
7048,44259,435693,Kd,10
7048,5291,435693,Kd,10
7048,216239,435693,Kd,10
7048,9874913,435693,Kd,10
7048,11667893,435693,Kd,10
7048,5329102,435693,Kd,10
7048,160355,435693,Kd,10
7048,123631,435693,Kd,10
7048,153999,435693,Kd,10
7048,151194,435693,Kd,10
7048,3038522,435693,Kd,10
7048,3062316,435693,Kd,2.9
7048,16007391,435693,Kd,10
7048,11485656,435693,Kd,10
7048,11712649,435693,Kd,10
7048,10113978,435693,Kd,10
7048,135398510,435693,Kd,10
7048,11409972,435693,Kd,0.26
7048,9884685,435693,Kd,10
7048,44223357,750124,IC50,0.236
7048,57339386,750124,IC50,0.016
7048,60182364,750124,IC50,0.015
7048,60182388,750124,IC50,0.327
7048,60182373,750124,IC50,0.038
7048,60182389,750124,IC50,0.026
7048,60182393,750124,IC50,0.00137
7048,11524144,750124,IC50,0.1029
7048,25195294,750124,IC50,0.1404
7048,67240318,1269585,IC50,10
